Team,Own_Goals
England,0
France,0
Argentina,0
Spain,0
Belgium,0
Norway,0
USA,0
Germany,0
Netherlands,0
Senegal,0
Switzerland,1
Brazil,0
Morocco,1
Mexico,0
Canada,0
Portugal,0
Egypt,2
Japan,0
Sweden,0
Austria,0
Croatia,0
Bosnia and Herzegovina,0
Congo DR,0
Algeria,0
Côte d'Ivoire,0
Colombia,0
New Zealand,0
Cabo Verde,1
Australia,1
Paraguay,1
Türkiye,0
Uruguay,0
IR Iran,0
Jordan,1
Qatar,2
Ghana,0
Tunisia,1
Czechia,0
Korea Republic,0
Uzbekistan,1
Haiti,0
South Africa,0
Ecuador,0
Curaçao,0
Scotland,0
Saudi Arabia,1
Iraq,1
Panama,0
